ean,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10
5060881924173,,,https://cdn.bazarchic.com/i/tmp/14182070.jpg,,,,,,,
7061289374292,,https://cdn.bazarchic.com/i/tmp/14171306.jpg,,,,,,,,
7061285519796,,https://cdn.bazarchic.com/i/tmp/12124250.jpg,https://cdn.bazarchic.com/i/tmp/12124253.jpg,https://cdn.bazarchic.com/i/tmp/12124256.jpg,https://cdn.bazarchic.com/i/tmp/12124259.jpg,,,,,
7061284968243,,https://cdn.bazarchic.com/i/tmp/12124262.jpg,https://cdn.bazarchic.com/i/tmp/12124265.jpg,,,,,,,
5060881926276,,https://cdn.bazarchic.com/i/tmp/14171339.jpg,,,,,,,,
5060881928034,,https://cdn.bazarchic.com/i/tmp/15993143.jpg,,,,,,,,
5060881928270,,https://cdn.bazarchic.com/i/tmp/15993338.jpg,https://cdn.bazarchic.com/i/tmp/15993341.jpg,,,,,,,
5060881928294,,https://cdn.bazarchic.com/i/tmp/15993344.jpg,https://cdn.bazarchic.com/i/tmp/15993347.jpg,https://cdn.bazarchic.com/i/tmp/15993350.jpg,,,,,,
5061006592246,https://cdn.bazarchic.com/i/tmp/17720609.jpg,,,,,,,,,
5061006598835,,https://cdn.bazarchic.com/i/tmp/19118008.jpg,https://cdn.bazarchic.com/i/tmp/19118014.jpg,https://cdn.bazarchic.com/i/tmp/19118017.jpg,https://cdn.bazarchic.com/i/tmp/19118002.jpg,https://cdn.bazarchic.com/i/tmp/19118005.jpg,https://cdn.bazarchic.com/i/tmp/19118011.jpg,,,
5061083811346,,https://cdn.bazarchic.com/i/tmp/19118023.jpg,https://cdn.bazarchic.com/i/tmp/19118029.jpg,https://cdn.bazarchic.com/i/tmp/19118032.jpg,https://cdn.bazarchic.com/i/tmp/19118035.jpg,https://cdn.bazarchic.com/i/tmp/19118020.jpg,https://cdn.bazarchic.com/i/tmp/19118026.jpg,,,
5061006598897,,https://cdn.bazarchic.com/i/tmp/19118053.jpg,https://cdn.bazarchic.com/i/tmp/19118047.jpg,https://cdn.bazarchic.com/i/tmp/19118056.jpg,https://cdn.bazarchic.com/i/tmp/19118041.jpg,https://cdn.bazarchic.com/i/tmp/19118044.jpg,https://cdn.bazarchic.com/i/tmp/19118050.jpg,,,
5061083811353,https://cdn.bazarchic.com/i/tmp/19118059.jpg,,,,,,,,,
5061006598828,,https://cdn.bazarchic.com/i/tmp/19118071.jpg,https://cdn.bazarchic.com/i/tmp/19118077.jpg,https://cdn.bazarchic.com/i/tmp/19118074.jpg,https://cdn.bazarchic.com/i/tmp/19118065.jpg,https://cdn.bazarchic.com/i/tmp/19118068.jpg,,,,
5061083811452,https://cdn.bazarchic.com/i/tmp/19118080.jpg,,,,,,,,,
5061083811322,,https://cdn.bazarchic.com/i/tmp/19118092.jpg,https://cdn.bazarchic.com/i/tmp/19118086.jpg,https://cdn.bazarchic.com/i/tmp/19118083.jpg,https://cdn.bazarchic.com/i/tmp/19118089.jpg,,,,,
5061006592567,https://cdn.bazarchic.com/i/tmp/18172171.jpg,,,,,,,,,
5061006592581,https://cdn.bazarchic.com/i/tmp/18172177.jpg,,,,,,,,,
5061006593427,https://cdn.bazarchic.com/i/tmp/19283506.jpg,https://cdn.bazarchic.com/i/tmp/19283509.jpg,,,,,,,,
5061006594769,https://cdn.bazarchic.com/i/tmp/18948394.jpg,,,,,,,,,
5061006594806,https://cdn.bazarchic.com/i/tmp/18948397.jpg,,,,,,,,,
5061006594981,https://cdn.bazarchic.com/i/tmp/18948403.jpg,,,,,,,,,
5061006599641,https://cdn.bazarchic.com/i/tmp/19118095.jpg,,,,,,,,,
